Sendungsnummer,length_cm,width_cm,height_cm,weight_in_g,fragile,perishable,house_number,street,post_code,city,date
1,26,147,116,1970,0,1,1,Schlossersmühle,78120,Furtwangen im Schwarzwald,2022-01-03
2,63,71,44,2370,0,0,2,Triberger Straße,78120,Furtwangen im Schwarzwald,2022-01-03
3,36,100,103,1090,0,1,13,Triberger Straße,78120,Furtwangen im Schwarzwald,2022-01-03
4,117,148,29,3010,0,0,15,Triberger Straße,78120,Furtwangen im Schwarzwald,2022-01-03
5,150,111,72,17870,0,0,5,Hinterschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
6,21,5,200,570,0,0,1/2,Hinterschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
7,148,50,101,1490,0,0,18,Vorderschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
8,139,110,6,2130,0,0,3,In der Wanne,78120,Furtwangen im Schwarzwald,2022-01-03
9,13,8,141,1990,0,0,1/2,Hinterschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
10,161,122,56,620,0,0,9,Vorderschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
11,140,141,65,2710,0,0,2,Vorderschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
12,34,76,25,3050,0,0,2,Wendelhofstraße,78120,Furtwangen im Schwarzwald,2022-01-03
13,299,42,4,4580,0,1,3,Vorderschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
14,43,29,75,1650,0,0,2,Hinterschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
15,177,152,76,18420,0,0,2a,Hinterschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
16,68,21,28,1660,0,0,3,Vorderschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
17,188,14,75,540,0,0,18,Friedrichstraße,78120,Furtwangen im Schwarzwald,2022-01-03
18,14,51,70,2690,0,0,2a,Hinterschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
19,83,114,20,3850,0,0,3,Triberger Straße,78120,Furtwangen im Schwarzwald,2022-01-03
20,22,147,53,3180,1,1,13,Wendelhofstraße,78120,Furtwangen im Schwarzwald,2022-01-03
21,79,99,4,4890,0,0,13,Wendelhofstraße,78120,Furtwangen im Schwarzwald,2022-01-03
22,284,48,3,1380,0,0,6,Wendelhofstraße,78120,Furtwangen im Schwarzwald,2022-01-03
23,81,155,44,840,1,1,5,Triberger Straße,78120,Furtwangen im Schwarzwald,2022-01-03
24,147,122,68,290,0,0,14,Wendelhofstraße,78120,Furtwangen im Schwarzwald,2022-01-03
25,96,80,2,390,0,0,14,Wendelhofstraße,78120,Furtwangen im Schwarzwald,2022-01-03
26,173,123,37,3390,0,0,14,Wendelhofstraße,78120,Furtwangen im Schwarzwald,2022-01-03
27,147,111,52,910,0,0,14,Wendelhofstraße,78120,Furtwangen im Schwarzwald,2022-01-03
28,150,183,27,1880,0,0,26,Friedrichstraße,78120,Furtwangen im Schwarzwald,2022-01-03
29,99,49,29,3950,0,0,14,Triberger Straße,78120,Furtwangen im Schwarzwald,2022-01-03
30,139,57,41,360,0,0,15,Triberger Straße,78120,Furtwangen im Schwarzwald,2022-01-03
31,113,67,109,260,1,0,6,Wendelhofstraße,78120,Furtwangen im Schwarzwald,2022-01-03
32,263,87,176,4810,1,0,5a,Hinterschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
33,168,79,15,1650,0,0,15,Vorderschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
34,23,43,48,2320,1,0,5a,Hinterschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
35,163,51,31,12560,0,0,3,Vorderschützenbach,78120,Furtwangen im Schwarzwald,2022-01-03
