Sendungsnummer,length_cm,width_cm,height_cm,weight_in_g,fragile,perishable,house_number,street,post_code,city
1,132,9,80,30560,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
2,40,143,39,2240,1,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald
3,166,18,14,2720,0,1,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald
4,186,99,8,2320,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald
5,104,18,66,720,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald
6,5,109,65,7170,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
7,11,95,21,3510,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
8,34,32,98,19050,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald
9,77,150,20,1130,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald
10,73,63,16,7970,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald
11,68,21,150,3930,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald
12,141,82,124,4110,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald
13,34,123,28,1950,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald
14,112,38,21,29680,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald
15,133,147,43,390,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald
16,99,103,32,1250,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald
17,15,54,29,790,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald
18,98,223,56,940,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald
19,97,2,24,3230,0,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald
20,185,102,10,3780,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
21,11,8,4,150,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald
22,88,115,76,2510,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
23,28,142,4,2290,1,1,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
24,71,43,47,1310,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald
25,112,10,56,530,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald
26,41,81,173,1530,1,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
27,14,97,26,70,1,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald
28,5,41,141,690,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
29,56,16,44,1250,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
30,89,60,92,7570,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald
31,33,48,22,3840,1,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
32,123,46,96,2400,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
33,25,67,39,1220,1,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
34,87,33,181,15440,1,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
35,228,103,6,2440,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald
36,23,28,3,3330,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald
37,174,95,73,1440,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
38,87,117,65,3070,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald
39,3,157,58,1230,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald
40,44,142,30,10790,0,1,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald
41,93,155,40,1390,1,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald
42,27,43,121,1580,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald
43,58,274,45,200,1,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald
44,16,158,20,2170,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald
45,100,45,65,16680,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald
46,51,137,59,1900,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
47,83,57,38,4800,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
48,34,142,40,220,1,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
49,72,42,6,1920,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
50,175,42,55,1510,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
51,8,19,58,23480,1,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald
52,53,64,33,1510,1,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald
53,55,209,97,80,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald
54,138,24,62,150,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
55,126,157,145,13290,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald
56,39,116,36,470,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald
57,111,164,26,22280,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald
58,32,21,129,1310,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald
59,6,4,111,27200,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
60,85,124,86,410,0,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald
61,55,28,58,160,1,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
62,142,27,79,1450,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald
63,15,4,165,360,1,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald
64,50,154,176,370,0,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald
65,42,119,42,1860,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald
66,88,33,79,8220,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald
67,115,272,51,860,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald
68,179,61,76,21260,0,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald
69,167,131,23,18740,1,1,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald
70,40,22,96,2530,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald
71,214,53,68,22260,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald
72,7,132,87,4950,0,1,26,Rabenstraße,78120,Furtwangen im Schwarzwald
73,2,107,111,1450,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald
74,63,73,41,1880,1,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald
75,139,25,124,10780,1,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald
76,175,64,191,520,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
77,20,5,196,3640,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
78,68,258,32,3250,0,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald
79,131,109,86,3900,1,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald
80,95,17,5,200,0,1,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald
81,46,32,39,24510,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald
82,47,16,117,19570,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald
83,50,127,63,27260,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald
84,76,103,21,750,0,1,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald
85,85,7,119,18570,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald
86,98,23,42,16880,1,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald
87,245,184,210,1780,0,1,2,Bismarckstraße,78120,Furtwangen im Schwarzwald
88,102,132,13,490,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald
89,72,150,126,1180,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald
90,17,262,47,23470,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
91,251,84,205,50,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
92,113,28,15,1410,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
93,136,13,42,28320,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
94,10,26,95,870,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald
95,99,136,122,3410,0,1,2,Bismarckstraße,78120,Furtwangen im Schwarzwald
96,22,142,23,2340,0,1,2,Bismarckstraße,78120,Furtwangen im Schwarzwald
97,43,153,45,12870,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald
98,9,2,37,3640,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald
99,77,90,47,420,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald
100,20,52,69,60,0,1,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald
101,14,117,10,21730,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald
102,70,16,31,4350,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald
103,252,136,159,2370,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald
104,262,12,167,940,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald
105,7,46,60,3910,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald
106,130,60,8,1200,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald
107,244,27,101,1440,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald
108,82,88,122,1700,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald
109,8,21,46,2660,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald
110,259,275,46,1050,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald
111,24,102,33,2120,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald
112,101,26,9,1590,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald
113,32,4,196,520,0,1,3,Friedrichstraße,78120,Furtwangen im Schwarzwald
114,14,273,2,770,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald
115,135,136,39,3720,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald
116,265,147,39,1680,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald
