Sendungsnummer,length_cm,width_cm,height_cm,weight_in_g,fragile,perishable,house_number,street,post_code,city,date
1,37,122,20,1440,0,0,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
2,90,26,86,4720,1,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
3,67,65,57,1640,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
4,234,147,26,1070,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
5,117,86,10,12600,0,0,8,Grieshaberstraße,78120,Furtwangen im Schwarzwald,2021-12-16
6,298,57,71,4370,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
7,107,40,48,1390,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
8,46,18,16,520,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
9,119,49,74,2050,0,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
10,163,156,100,24880,1,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
11,90,79,70,540,0,0,1,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
12,65,140,77,1260,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
13,91,144,65,90,0,1,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
14,95,40,127,2600,0,1,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
15,162,85,46,770,1,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
16,127,128,119,21110,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
17,128,70,112,1300,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
18,142,17,8,620,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
19,224,83,14,1540,0,1,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
20,53,22,195,3990,0,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
21,84,67,80,4340,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
22,38,150,8,1810,0,1,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
23,24,11,19,4480,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
24,131,157,82,17590,0,0,1,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
25,240,151,96,27430,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
26,192,151,22,60,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
27,37,25,106,200,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
28,72,40,97,5370,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
29,149,32,73,15510,0,1,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-16
30,52,78,123,1130,0,0,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-16
31,20,132,195,750,1,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
32,75,69,88,3480,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
33,12,48,25,600,0,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
34,37,12,48,140,0,0,3,Hafnergässle,78120,Furtwangen im Schwarzwald,2021-12-16
35,40,132,38,7930,0,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
36,114,57,108,3200,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
37,105,100,183,31280,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
38,52,46,155,940,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-16
39,103,159,165,18790,0,0,3,Friedrichstraße,78120,Furtwangen im Schwarzwald,2021-12-16
40,202,57,62,1240,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
41,199,119,99,21320,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
42,56,254,26,790,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-16
43,145,54,109,3650,0,0,18,Allmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
44,152,153,40,620,0,1,11,Bahnhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
45,32,133,197,700,1,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-16
46,29,27,70,570,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
47,213,112,125,26760,0,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
48,45,59,118,1960,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
49,148,239,40,4500,0,0,7,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
50,11,136,63,3990,1,0,26,Rabenstraße,78120,Furtwangen im Schwarzwald,2021-12-16
51,176,119,188,1250,0,1,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
52,126,151,127,17740,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-16
