Sendungsnummer,length_cm,width_cm,height_cm,weight_in_g,fragile,perishable,house_number,street,post_code,city,date
1,42,77,71,1550,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
2,72,7,53,2150,0,0,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
3,136,59,150,450,1,1,3,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
4,58,266,42,1710,0,1,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-15
5,21,72,69,3230,0,1,8,Gerwigstraße,78120,Furtwangen im Schwarzwald,2021-12-15
6,96,59,24,2890,0,0,1,Robert-Gerwig-Platz,78120,Furtwangen im Schwarzwald,2021-12-15
7,55,268,197,10700,0,0,11,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
8,122,69,146,12170,0,0,1,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
9,118,21,43,3420,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
10,107,34,59,4580,0,0,5,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
11,155,73,5,1200,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-15
12,48,14,50,710,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-15
13,125,264,43,1030,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-15
14,120,71,34,1880,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
15,38,85,78,630,1,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
16,167,137,34,1430,0,0,1,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
17,178,7,74,3270,0,0,2,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-15
18,77,105,47,1760,1,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-15
19,119,84,12,4490,0,0,17,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-15
20,152,249,136,17710,0,0,9,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
21,162,94,151,100,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-15
22,178,59,41,2990,0,0,3,Wilhelmstraße,78120,Furtwangen im Schwarzwald,2021-12-15
23,103,27,86,11920,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-15
24,35,114,48,990,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-15
25,108,102,46,50,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-15
26,81,35,56,440,0,1,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
27,142,138,92,14650,0,0,2,Lindenstraße,78120,Furtwangen im Schwarzwald,2021-12-15
28,61,124,123,1170,0,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-15
29,17,140,39,470,1,0,5,Bühlhofstraße,78120,Furtwangen im Schwarzwald,2021-12-15
30,61,80,34,2110,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
31,81,119,43,610,0,0,13,Unterallmendstraße,78120,Furtwangen im Schwarzwald,2021-12-15
32,103,219,25,880,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-15
33,33,20,10,1090,0,0,9,Bismarckstraße,78120,Furtwangen im Schwarzwald,2021-12-15
